name,age,position,nfl_games,nfl_passCMP,nfl_passingYDS,nfl_passingTDS,nfl_passingINT,nfl_rushingYDS,nfl_rushingTDS
Jameis Winston,21,QB,16.0,58.3,4042.0,22.0,15.0,213.0,6.0
Marcus Mariota,21,QB,12.0,62.2,2818.0,19.0,10.0,252.0,2.0
Garrett Grayson,24,QB,,,,,,,
Sean Mannion,23,QB,1.0,85.7,31.0,0.0,0.0,-1.0,0.0
Bryce Petty,24,QB,6.0,56.4,809.0,3.0,7.0,19.0,0.0
Brett Hundley,22,QB,4.0,20.0,17.0,0.0,1.0,-2.0,0.0
Trevor Siemian,23,QB,,,,,,,
Jared Goff,21,QB,7.0,54.6,1089.0,5.0,7.0,16.0,1.0
Carson Wentz,23,QB,16.0,62.4,3782.0,16.0,14.0,150.0,2.0
Paxton Lynch,22,QB,3.0,59.0,497.0,2.0,1.0,25.0,0.0
Christian Hackenberg,21,QB,,,,,,,
Jacoby Brissett,23,QB,3.0,61.8,400.0,0.0,0.0,83.0,1.0
Cody Kessler,23,QB,9.0,65.6,1380.0,6.0,2.0,18.0,0.0
Connor Cook,23,QB,,,,,,,
Dak Prescott,23,QB,16.0,67.8,3667.0,23.0,4.0,282.0,6.0
Cardale Jones,23,QB,1.0,54.5,96.0,0.0,1.0,-1.0,0.0
Kevin Hogan,23,QB,4.0,53.8,104.0,0.0,2.0,105.0,1.0
Nate Sudfeld,22,QB,1.0,82.6,134.0,0.0,0.0,22.0,0.0
Jake Rudock,23,QB,,,,,,,
Brandon Allen,24,QB,3.0,46.4,515.0,3.0,2.0,39.0,0.0
Jeff Driskel,23,QB,9.0,59.7,1003.0,6.0,2.0,130.0,2.0
Brandon Doughty,24,QB,,,,,,,
Mitchell Trubisky,23,QB,12.0,59.4,2193.0,7.0,7.0,248.0,2.0
Patrick Mahomes,21,QB,1.0,62.9,284.0,0.0,1.0,10.0,0.0
Deshaun Watson,21,QB,7.0,61.8,1699.0,19.0,8.0,269.0,2.0
DeShone Kizer,21,QB,15.0,53.6,2894.0,11.0,22.0,419.0,5.0
Davis Webb,22,QB,,,,,,,
C.J. Beathard,23,QB,7.0,54.9,1430.0,4.0,6.0,136.0,3.0
Joshua Dobbs,22,QB,5.0,50.0,43.0,0.0,1.0,11.0,0.0
Nathan Peterman,23,QB,4.0,49.0,252.0,2.0,5.0,23.0,0.0
Brad Kaaya,22,QB,,,,,,,
Chad Kelly,23,QB,,,,,,,
Baker Mayfield,23,QB,14.0,63.8,3725.0,27.0,14.0,131.0,0.0
Sam Darnold,21,QB,13.0,57.7,2865.0,17.0,15.0,138.0,1.0
Josh Allen,22,QB,12.0,52.8,2074.0,10.0,12.0,631.0,8.0
Josh Rosen,21,QB,14.0,55.2,2278.0,11.0,14.0,138.0,0.0
Lamar Jackson,21,QB,16.0,58.2,1201.0,6.0,3.0,695.0,5.0
Mason Rudolph,23,QB,10.0,62.2,1765.0,13.0,9.0,42.0,0.0
Kyle Lauletta,23,QB,2.0,0.0,0.0,0.0,1.0,-2.0,0.0
Mike White,23,QB,4.0,66.7,953.0,5.0,8.0,-1.0,0.0
Luke Falk,23,QB,,,,,,,
Tanner Lee,23,QB,,,,,,,
Danny Etling,24,QB,,,,,,,
Alex McGough,22,QB,,,,,,,
Logan Woodside,23,QB,6.0,33.3,7.0,0.0,0.0,10.0,0.0
Kyler Murray,22,QB,16.0,64.4,3722.0,20.0,12.0,544.0,4.0
Daniel Jones,22,QB,13.0,61.9,3027.0,24.0,12.0,279.0,2.0
Dwayne Haskins,22,QB,9.0,58.6,1365.0,7.0,7.0,101.0,0.0
Drew Lock,22,QB,5.0,64.1,1020.0,7.0,3.0,72.0,0.0
Will Grier,24,QB,2.0,53.8,228.0,0.0,4.0,22.0,0.0
Ryan Finley,24,QB,3.0,47.1,474.0,2.0,2.0,77.0,0.0
Jarrett Stidham,23,QB,3.0,50.0,14.0,0.0,1.0,-2.0,0.0
Easton Stick,23,QB,1.0,100.0,4.0,0.0,0.0,-2.0,0.0
Clayton Thorson,24,QB,,,,,,,
Gardner Minshew II,23,QB,14.0,60.6,3271.0,21.0,6.0,344.0,0.0
Trace McSorley,24,QB,,,,,,,
Joe Burrow,23,QB,10.0,65.3,2688.0,13.0,5.0,142.0,3.0
Tua Tagovailoa,22,QB,10.0,64.1,1814.0,11.0,5.0,109.0,3.0
Justin Herbert,22,QB,15.0,66.6,4336.0,31.0,10.0,234.0,5.0
Jordan Love,21,QB,6.0,58.1,411.0,2.0,3.0,27.0,0.0
Jalen Hurts,22,QB,15.0,52.0,1061.0,6.0,4.0,354.0,3.0
Jacob Eason,22,QB,,,,,,,
James Morgan,23,QB,,,,,,,
Jake Fromm,22,QB,3.0,45.0,210.0,1.0,3.0,65.0,0.0
Jake Luton,24,QB,3.0,54.5,624.0,2.0,6.0,13.0,1.0
Cole McDonald,22,QB,,,,,,,
Ben DiNucci,23,QB,3.0,53.5,219.0,0.0,0.0,22.0,0.0
Tommy Stevens,23,QB,,,,,,,
Nate Stanley,23,QB,,,,,,,
Trevor Lawrence,21,QB,17.0,59.6,3641.0,12.0,17.0,334.0,2.0
Zach Wilson,22,QB,13.0,55.6,2334.0,9.0,11.0,185.0,4.0
Trey Lance,21,QB,6.0,57.7,603.0,5.0,2.0,168.0,1.0
Justin Fields,22,QB,12.0,58.9,1870.0,7.0,10.0,420.0,2.0
Mac Jones,23,QB,17.0,67.6,3801.0,22.0,13.0,129.0,0.0
Kyle Trask,23,QB,1.0,33.3,23.0,0.0,0.0,-1.0,0.0
Kellen Mond,22,QB,,,,,,,
Davis Mills,22,QB,13.0,66.8,2664.0,16.0,10.0,44.0,0.0
Ian Book,23,QB,1.0,60.0,135.0,0.0,2.0,6.0,0.0
Sam Ehlinger,22,QB,,,,,,,
Kenny Pickett,24,QB,13.0,63.0,2404.0,7.0,9.0,237.0,3.0
Desmond Ridder,23,QB,4.0,63.5,708.0,2.0,0.0,64.0,0.0
Malik Willis,23,QB,8.0,50.8,276.0,0.0,3.0,123.0,1.0
Matt Corral,23,QB,,,,,,,
Bailey Zappe,23,QB,4.0,70.7,781.0,5.0,3.0,0.0,0.0
Sam Howell,21,QB,1.0,57.9,169.0,1.0,1.0,35.0,1.0
Chris Oladokun,25,QB,,,,,,,
Skylar Thompson,25,QB,7.0,57.1,534.0,1.0,3.0,21.0,0.0
Brock Purdy,22,QB,9.0,67.1,1374.0,13.0,4.0,13.0,1.0
Bryce Young,22,QB,16.0,59.8,2877.0,11.0,10.0,253.0,0.0
C.J. Stroud,21,QB,15.0,63.9,4108.0,23.0,5.0,167.0,3.0
Anthony Richardson,21,QB,4.0,59.5,577.0,3.0,1.0,136.0,4.0
Will Levis,24,QB,9.0,58.4,1808.0,8.0,4.0,57.0,1.0
Hendon Hooker,25,QB,3.0,66.7,62.0,0.0,0.0,2.0,0.0
Jake Haener,24,QB,8.0,46.2,226.0,1.0,1.0,22.0,0.0
Stetson Bennett,25,QB,,,,,,,
Aidan O'Connell,25,QB,11.0,62.1,2218.0,12.0,7.0,11.0,1.0
Clayton Tune,24,QB,7.0,57.1,62.0,0.0,2.0,30.0,1.0
Dorian Thompson-Robinson,23,QB,8.0,53.6,440.0,1.0,4.0,65.0,0.0
Sean Clifford,25,QB,2.0,100.0,37.0,0.0,0.0,-2.0,0.0
Jaren Hall,25,QB,3.0,65.0,168.0,0.0,1.0,14.0,0.0
Tanner McKee,23,QB,2.0,66.7,323.0,4.0,0.0,-1.0,0.0
Max Duggan,22,QB,,,,,,,
Caleb Williams,22,QB,17.0,62.5,3541.0,20.0,6.0,489.0,0.0
Jayden Daniels,23,QB,17.0,69.0,3568.0,25.0,9.0,891.0,6.0
Drake Maye,22,QB,13.0,66.6,2276.0,15.0,10.0,421.0,2.0
Michael Penix,24,QB,5.0,58.1,775.0,3.0,3.0,11.0,1.0
J.J. McCarthy,21,QB,,,,,,,
Bo Nix,24,QB,17.0,66.3,3775.0,29.0,12.0,430.0,4.0
Spencer Rattler,23,QB,7.0,57.0,1317.0,4.0,5.0,146.0,0.0
Jordan Travis,24,QB,,,,,,,
Joe Milton,24,QB,1.0,75.9,241.0,1.0,0.0,16.0,1.0
Devin Leary,24,QB,,,,,,,
Michael Pratt,22,QB,,,,,,,
